id,icao24,callsign,estDepartureAirport,estArrivalAirport,firstSeen,lastSeen,flight_duration_minutes,total_distance_km,airport_pair,firstSeen_time,lastSeen_time
36494,3b75f1,MUS22   ,LFIY,LFDN,1741172021,1741174570,42.483333333333334,30.061,LFIY-LFDN,2025-03-05 10:53:41,2025-03-05 11:36:10
35748,3b75f1,MUS22   ,LFIY,LFDN,1741172021,1741174570,42.483333333333334,30.061,LFIY-LFDN,2025-03-05 10:53:41,2025-03-05 11:36:10
36619,8830e9,TLM816  ,VTBD,,1741172589,1741174554,32.75,2.674,,2025-03-05 11:03:09,2025-03-05 11:35:54
36599,8015da,IGO6754 ,,,1741171809,1741174554,45.75,0.0,,2025-03-05 10:50:09,2025-03-05 11:35:54
36349,8830e9,TLM816  ,VTBD,,1741172589,1741174554,32.75,2.674,,2025-03-05 11:03:09,2025-03-05 11:35:54
36250,8015da,IGO6754 ,,,1741171809,1741174554,45.75,0.0,,2025-03-05 10:50:09,2025-03-05 11:35:54
36596,801509,AKJ163H ,,VABB,1741167594,1741174535,115.68333333333334,1.686,,2025-03-05 09:39:54,2025-03-05 11:35:35
36234,801509,AKJ163H ,,VABB,1741167594,1741174535,115.68333333333334,1.686,,2025-03-05 09:39:54,2025-03-05 11:35:35
36556,4cadd9,SAS2026 ,ESSA,,1741171986,1741174532,42.43333333333333,2.503,,2025-03-05 10:53:06,2025-03-05 11:35:32
35982,4cadd9,SAS2026 ,ESSA,,1741171986,1741174532,42.43333333333333,2.503,,2025-03-05 10:53:06,2025-03-05 11:35:32
36492,346316,IBE04GH ,LEMD,LEBB,1741172980,1741174516,25.6,9.214,LEMD-LEBB,2025-03-05 11:09:40,2025-03-05 11:35:16
36488,34260e,IBE04SK ,LEMD,LEPP,1741172911,1741174516,26.75,32.277,LEMD-LEPP,2025-03-05 11:08:31,2025-03-05 11:35:16
35712,34260e,IBE04SK ,LEMD,LEPP,1741172911,1741174516,26.75,32.277,LEMD-LEPP,2025-03-05 11:08:31,2025-03-05 11:35:16
35727,346316,IBE04GH ,LEMD,LEBB,1741172980,1741174516,25.6,9.214,LEMD-LEBB,2025-03-05 11:09:40,2025-03-05 11:35:16
36573,71c031,JJA907  ,RKSS,RKD1,1741172987,1741174510,25.383333333333333,24.235,RKSS-RKD1,2025-03-05 11:09:47,2025-03-05 11:35:10
36055,71c031,JJA907  ,RKSS,RKD1,1741172987,1741174510,25.383333333333333,24.235,RKSS-RKD1,2025-03-05 11:09:47,2025-03-05 11:35:10
36587,8004a6,AIC889  ,VIDP,VNCG,1741169973,1741174464,74.85,17.581,VIDP-VNCG,2025-03-05 10:19:33,2025-03-05 11:34:24
36182,8004a6,AIC889  ,VIDP,VNCG,1741169973,1741174464,74.85,17.581,VIDP-VNCG,2025-03-05 10:19:33,2025-03-05 11:34:24
36482,0c6001,BWA230  ,TBPB,TGPY,1741172335,1741174437,35.03333333333333,26.085,TBPB-TGPY,2025-03-05 10:58:55,2025-03-05 11:33:57
35684,0c6001,BWA230  ,TBPB,TGPY,1741172335,1741174437,35.03333333333333,26.085,TBPB-TGPY,2025-03-05 10:58:55,2025-03-05 11:33:57
36484,152000,AFL1300 ,,,1741144745,1741174431,494.76666666666665,0.0,,2025-03-05 03:19:05,2025-03-05 11:33:51
35700,152000,AFL1300 ,,,1741144745,1741174431,494.76666666666665,0.0,,2025-03-05 03:19:05,2025-03-05 11:33:51
36652,e80326,SKX5224 ,SPJC,,1741171382,1741174398,50.266666666666666,6.573,,2025-03-05 10:43:02,2025-03-05 11:33:18
36646,e49c5a,TAM4632 ,SBSP,SNAF,1741171951,1741174398,40.78333333333333,24.458,SBSP-SNAF,2025-03-05 10:52:31,2025-03-05 11:33:18
