id,icao24,callsign,estDepartureAirport,estArrivalAirport,firstSeen,lastSeen,flight_duration_minutes,total_distance_km,airport_pair,firstSeen_time,lastSeen_time
36651,e8027d,LPE2291 ,SPJC,SPQR,1741174397,1741176883,41.43333333333333,85.313,SPJC-SPQR,2025-03-05 11:33:17,2025-03-05 12:14:43
36554,4cad13,EAI42D  ,EIDW,EIDL,1741175143,1741176875,28.866666666666667,24.726,EIDW-EIDL,2025-03-05 11:45:43,2025-03-05 12:14:35
36627,a39089,JBU560  ,KPHL,KBOS,1741173710,1741176790,51.333333333333336,2.404,KPHL-KBOS,2025-03-05 11:21:50,2025-03-05 12:13:10
36580,7584f0,GAP2047 ,RPLL,RPVL,1741174935,1741176777,30.7,23.405,RPLL-RPVL,2025-03-05 11:42:15,2025-03-05 12:12:57
36618,880c4d,AIQ3256 ,VTBD,,1741174985,1741176723,28.966666666666665,2.158,,2025-03-05 11:43:05,2025-03-05 12:12:03
36481,06a2ee,QTR646  ,LEMD,VNSI,1741120990,1741176721,928.85,36.06,LEMD-VNSI,2025-03-04 20:43:10,2025-03-05 12:12:01
36557,4cc516,ICE36R  ,BIRK,BIHI,1741175102,1741176542,24.0,16.042,BIRK-BIHI,2025-03-05 11:45:02,2025-03-05 12:09:02
36550,4ca244,RYR16QP ,LEZL,,1741170407,1741176532,102.08333333333333,1.006,,2025-03-05 10:26:47,2025-03-05 12:08:52
36510,407070,GCJDA   ,EGCB,EGCB,1741172823,1741176521,61.63333333333333,1.907,EGCB-EGCB,2025-03-05 11:07:03,2025-03-05 12:08:41
36591,800d10,IGO6137 ,VOMM,,1741163992,1741176416,207.06666666666666,0.825,,2025-03-05 08:39:52,2025-03-05 12:06:56
36639,e07583,ARG1350 ,SABE,SUAA,1741175408,1741176404,16.6,17.33,SABE-SUAA,2025-03-05 11:50:08,2025-03-05 12:06:44
36653,e80609,JAP7318 ,SPJC,SPUC,1741173882,1741176314,40.53333333333333,81.504,SPJC-SPUC,2025-03-05 11:24:42,2025-03-05 12:05:14
36549,4ca15e,EIN960  ,EIDW,EIDW,1741173088,1741176258,52.833333333333336,2.119,EIDW-EIDW,2025-03-05 11:11:28,2025-03-05 12:04:18
36516,408051,EZY76BM ,LFLL,EGGW,1741171549,1741176182,77.21666666666667,6.618,LFLL-EGGW,2025-03-05 10:45:49,2025-03-05 12:03:02
36582,780297,CSN5142 ,,,1741175472,1741176139,11.116666666666667,0.0,,2025-03-05 11:51:12,2025-03-05 12:02:19
36633,aaf8e0,N806HK  ,,RJTT,1741173461,1741176111,44.166666666666664,1.064,,2025-03-05 11:17:41,2025-03-05 12:01:51
36511,40717b,EXS291  ,EGNM,LTXE,1741161290,1741176106,246.93333333333334,11.516,EGNM-LTXE,2025-03-05 07:54:50,2025-03-05 12:01:46
36571,7020a6,BBC493  ,VGZR,VGBG,1741174526,1741176065,25.65,52.243,VGZR-VGBG,2025-03-05 11:35:26,2025-03-05 12:01:05
36521,44029f,AUA796  ,LBSF,LOWW,1741171519,1741176045,75.43333333333334,1.388,LBSF-LOWW,2025-03-05 10:45:19,2025-03-05 12:00:45
